card_id,topic_tag,card_file,front_sha256,community_answer_ref,official_refs,source_role,back_status,notes
PYI_01_001,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,65cbb700faee43ea20cf4bfecc5a6158e2fe9218a69d3823f683db568a73e6f0,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L38-L67,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_02
PYI_01_002,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,0d7da86c0c0d29d15df8910507893931d000e6817401b884527d25798cabdb8b,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L38-L67,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_02
PYI_01_003,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,81a2584c3fb307cbdcdf3c29390dfb91df05b74397776e0628b165e3a21ca17d,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/interpreter.md#L382-L406,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_INTERPRETER_11
PYI_01_004,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,22bc78be9eabe5ff8c3b1838050ef8557d3ca41b13a3a0d4e3ce55edb89f5a10,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L104-L137,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_04
PYI_01_005,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,6900395d8266026c77464aa56b296dfcfa630e6aa4e3c3fcd038c447549538a2,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L104-L137,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_04
PYI_01_006,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,054c45e8d3ab21a1728e121646bb3205b266202d08bc1a04f4a5b550adaec994,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/interpreter.md#L3-L26,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_INTERPRETER_01
PYI_01_007,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,33124ab3ad5d69fea5f29685e2447124a6bace9be93b07ea402641fb32e98aab,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/interpreter.md#L27-L46,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_INTERPRETER_02
PYI_01_008,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,04001b8bc5bb46a3ff88c0ec1f18db0c7b43b4dd36bd18e41fb77c20cdf2d132,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L332-L393,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_08
PYI_01_009,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,eb9023ef73ae200ef6969ad1977db27907bb59e6d05e1b21ba59bf1531bccd36,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L394-L407,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_09
PYI_01_010,topic::01_python_fundamentals,cards/01_python_fundamentals.txt,cace211dc64a2ee065f5585439376f0be8fccbbd40b9b359eb038e0d8cb65443,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/python/general.md#L300-L331,https://docs.python.org/3.14/reference/executionmodel.html|https://docs.python.org/3.14/reference/datamodel.html|https://docs.python.org/3.14/faq/general.html,candidate_plus_official,reviewed,source locator TV_PYTHON_GENERAL_07
