source_file,line,front_sha1,question_id,section,state,duplicate_review
03_Structs_Unions_Bitfields_anki_cards.txt,6,44bbedc0c0bf30f1a4e142d60210ee5622c69ba2,emb-structs-0001,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,7,219c400ed3c2f108a1a7d6f17f9f22920808e070,emb-structs-0002,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,8,dd1ce3506af94b8f6a624f155bfb3ad2608d4629,emb-structs-0003,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,9,2122e992e820713215203e8c818289a0fa389add,emb-structs-0004,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,10,2014432e70f964e2621cbfb7e3db7869f17be11b,emb-structs-0005,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,11,5145c5e50411bf71b05f2998dcc62239faab41fd,emb-structs-0006,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,12,6e47638f40e7f736644263284c23de16adf7442b,emb-structs-0007,structs-unions-and-bitfields,written,yes
03_Structs_Unions_Bitfields_anki_cards.txt,13,3f511243c235be93b20aeab0ecfaab923e3748bd,emb-structs-0008,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,14,7c8608be18c4aa071619ebbeef42a25ff77502cf,emb-structs-0009,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,15,4be825f3a833a857993039b50eebe6a206ff2c71,emb-structs-0010,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,16,aeb1a9a35cae1ac8712cca830b41490ccc7c601c,emb-structs-0011,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,17,6b503ab4250d28d4605fd5ce18ab449e060a7f3b,emb-structs-0012,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,18,cec473d7c27c7cdc4cb387ccf48b5ac016f8ca7b,emb-structs-0013,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,19,1044dfc712348ea3b93bf262c47d66f582c1d24d,emb-structs-0014,structs-unions-and-bitfields,written,yes
03_Structs_Unions_Bitfields_anki_cards.txt,20,a6f91ae8f80c6d50f38b1e9292bedda82ee4e985,emb-structs-0015,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,21,f396964c1933964a19498bd5ca1e1db03e19ddf8,emb-structs-0016,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,22,93378ce39d9d35ce6e65cd7cf9ee29e48d15099c,emb-structs-0017,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,23,26326b800a30ca7631a79a5a6b9b715529427b58,emb-structs-0018,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,24,fc13614e496f78191d35809f658debfa359bcd2d,emb-structs-0019,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,25,0937cba4d2a30b2cb5f7584299246f90b719230f,emb-structs-0020,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,26,e66fd95770ce2bff52a8a492e3aa8df42cf45806,emb-structs-0021,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,27,f018467b6f16b26e273ae921e8dc3479766d1e9d,emb-structs-0022,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,28,744b1f79187ed31d41a708926df601cdcc80060a,emb-structs-0023,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,29,16fc32767600270af20feaba75b60deeea898ea0,emb-structs-0024,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,30,5d37aef67dffff3583218fcf0c24f2e63cefc89a,emb-structs-0025,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,31,35b2feffaa9ca35f7dbc778db4606c8058a96220,emb-structs-0026,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,32,65c0dde38546754b0345cfb541db4e6e93334203,emb-structs-0027,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,33,88f403c24a2983cd349794ab88fa38a955b72319,emb-structs-0028,structs-unions-and-bitfields,written,no
03_Structs_Unions_Bitfields_anki_cards.txt,34,6313fcea4765f0ce8d1d941c345cdfac639c1542,emb-structs-0029,structs-unions-and-bitfields,written,no
